Diabetes,Gender,Smoker,Age,SBP,Total_chol,Risk
yes,women,yes,45-49,>=180,4-4.9,4
yes,women,yes,45-49,>=180,5-5.9,4
yes,women,yes,45-49,>=180,6-6.9,4
yes,women,yes,45-49,>=180,>=7,5
yes,women,yes,45-49,160-179,<4,3
yes,women,yes,45-49,160-179,4-4.9,3
yes,women,yes,45-49,160-179,5-5.9,4
yes,women,yes,45-49,160-179,6-6.9,4
yes,women,yes,45-49,160-179,>=7,4
yes,women,yes,45-49,140-159,<4,3
yes,women,yes,45-49,140-159,4-4.9,3
yes,women,yes,45-49,140-159,5-5.9,3
yes,women,yes,45-49,140-159,6-6.9,3
yes,women,yes,45-49,140-159,>=7,3
yes,women,yes,45-49,120-139,<4,2
yes,women,yes,45-49,120-139,4-4.9,3
yes,women,yes,45-49,120-139,5-5.9,3
yes,women,yes,45-49,120-139,6-6.9,3
yes,women,yes,45-49,120-139,>=7,3
yes,women,yes,45-49,<=120,<4,2
yes,women,yes,45-49,<=120,4-4.9,2
yes,women,yes,45-49,<=120,5-5.9,2
yes,women,yes,45-49,<=120,6-6.9,3
yes,women,yes,45-49,<=120,>=7,3
yes,men,non,40-44,>=180,<4,3
yes,men,non,40-44,>=180,4-4.9,3
yes,men,non,40-44,>=180,5-5.9,3
yes,men,non,40-44,>=180,6-6.9,3
yes,men,non,40-44,>=180,>=7,3
yes,men,non,40-44,160-179,<4,2
yes,men,non,40-44,160-179,4-4.9,2
yes,men,non,40-44,160-179,5-5.9,2
yes,men,non,40-44,160-179,6-6.9,3
yes,men,non,40-44,160-179,>=7,3
yes,men,non,40-44,140-159,<4,2
yes,men,non,40-44,140-159,4-4.9,2
yes,men,non,40-44,140-159,5-5.9,2
yes,men,non,40-44,140-159,6-6.9,2
yes,men,non,40-44,140-159,>=7,2
yes,men,non,40-44,120-139,<4,1
yes,men,non,40-44,120-139,4-4.9,1
yes,men,non,40-44,120-139,5-5.9,1
yes,men,non,40-44,120-139,6-6.9,2
yes,men,non,40-44,120-139,>=7,2
yes,men,non,40-44,<=120,<4,1
yes,men,non,40-44,<=120,4-4.9,1
yes,men,non,40-44,<=120,5-5.9,1
yes,men,non,40-44,<=120,6-6.9,1
yes,men,non,40-44,<=120,>=7,1
yes,men,yes,40-44,>=180,<4,3
yes,men,yes,40-44,>=180,4-4.9,4
yes,men,yes,40-44,>=180,5-5.9,4
yes,men,yes,40-44,>=180,6-6.9,4
yes,men,yes,40-44,>=180,>=7,5
yes,men,yes,40-44,160-179,<4,3
yes,men,yes,40-44,160-179,4-4.9,3
yes,men,yes,40-44,160-179,5-5.9,3
yes,men,yes,40-44,160-179,6-6.9,4
yes,men,yes,40-44,160-179,>=7,4
yes,men,yes,40-44,140-159,<4,3
yes,men,yes,40-44,140-159,4-4.9,3
yes,men,yes,40-44,140-159,5-5.9,3
yes,men,yes,40-44,140-159,6-6.9,3
yes,men,yes,40-44,140-159,>=7,3
yes,men,yes,40-44,120-139,<4,2
yes,men,yes,40-44,120-139,4-4.9,2
yes,men,yes,40-44,120-139,5-5.9,2
yes,men,yes,40-44,120-139,6-6.9,3
yes,men,yes,40-44,120-139,>=7,3
yes,men,yes,40-44,<=120,<4,2
yes,men,yes,40-44,<=120,4-4.9,2
yes,men,yes,40-44,<=120,5-5.9,2
yes,men,yes,40-44,<=120,6-6.9,2
yes,men,yes,40-44,<=120,>=7,3
yes,women,non,40-44,>=180,<4,2
yes,women,non,40-44,>=180,4-4.9,2
yes,women,non,40-44,>=180,5-5.9,3
yes,women,non,40-44,>=180,6-6.9,3
yes,women,non,40-44,>=180,>=7,3
yes,women,non,40-44,160-179,<4,2
yes,women,non,40-44,160-179,4-4.9,2
yes,women,non,40-44,160-179,5-5.9,2
yes,women,non,40-44,160-179,6-6.9,2
yes,women,non,40-44,160-179,>=7,2
yes,women,non,40-44,140-159,<4,1
yes,women,non,40-44,140-159,4-4.9,2
yes,women,non,40-44,140-159,5-5.9,2
yes,women,non,40-44,140-159,6-6.9,2
yes,women,non,40-44,140-159,>=7,2
yes,women,non,40-44,120-139,<4,1
yes,women,non,40-44,120-139,4-4.9,1
yes,women,non,40-44,120-139,5-5.9,1
yes,women,non,40-44,120-139,6-6.9,1
yes,women,non,40-44,120-139,>=7,2
yes,women,non,40-44,<=120,<4,1
yes,women,non,40-44,<=120,4-4.9,1
yes,women,non,40-44,<=120,5-5.9,1
yes,women,non,40-44,<=120,6-6.9,1
yes,women,non,40-44,<=120,>=7,1
yes,women,yes,40-44,>=180,<4,3
yes,women,yes,40-44,>=180,4-4.9,4
yes,women,yes,40-44,>=180,5-5.9,4
yes,women,yes,40-44,>=180,6-6.9,4
yes,women,yes,40-44,>=180,>=7,4
yes,women,yes,40-44,160-179,<4,3
yes,women,yes,40-44,160-179,4-4.9,3
yes,women,yes,40-44,160-179,5-5.9,3
yes,women,yes,40-44,160-179,6-6.9,3
yes,women,yes,40-44,160-179,>=7,4
yes,women,yes,40-44,140-159,<4,3
yes,women,yes,40-44,140-159,4-4.9,3
yes,women,yes,40-44,140-159,5-5.9,3
yes,women,yes,40-44,140-159,6-6.9,3
yes,women,yes,40-44,140-159,>=7,3
yes,women,yes,40-44,120-139,<4,2
yes,women,yes,40-44,120-139,4-4.9,2
yes,women,yes,40-44,120-139,5-5.9,3
yes,women,yes,40-44,120-139,6-6.9,3
yes,women,yes,40-44,120-139,>=7,3
yes,women,yes,40-44,<=120,<4,2
yes,women,yes,40-44,<=120,4-4.9,2
yes,women,yes,40-44,<=120,5-5.9,2
yes,women,yes,40-44,<=120,6-6.9,2
yes,women,yes,40-44,<=120,>=7,2

